Date,NO3N,Student_Flag
8/5/2016 21:59,0.03,0
8/5/2016 22:29,0.03,0
8/5/2016 22:59,0.098,0
8/5/2016 23:29,0.03,0
8/5/2016 23:59,0.074,0
8/6/2016 0:29,0.03,0
8/6/2016 0:59,0.063,0
8/6/2016 1:29,0.081,0
8/6/2016 1:59,0.081,0
8/6/2016 2:29,0.03,0
8/6/2016 2:59,0.03,0
8/6/2016 3:29,0.03,0
8/6/2016 3:59,0.069,0
8/6/2016 4:29,0.03,0
8/6/2016 4:59,0.062,0
8/6/2016 5:29,0.075,0
8/6/2016 5:59,0.03,0
8/6/2016 6:29,0.03,0
8/6/2016 6:59,0.03,0
8/6/2016 7:29,0.03,0
8/6/2016 7:59,0.03,0
8/6/2016 8:29,0.03,0
8/6/2016 8:59,0.03,0
8/6/2016 9:29,0.03,0
8/6/2016 9:59,0.07,0
8/6/2016 10:29,0.03,0
8/6/2016 10:59,0.03,0
8/6/2016 11:29,0.03,0
8/6/2016 11:59,0.03,0
8/6/2016 12:29,0.088,0
8/6/2016 12:59,0.03,0
8/6/2016 13:29,0.03,0
8/6/2016 13:59,0.117,0
8/6/2016 14:29,0.153,0
8/6/2016 14:59,0.118,0
8/6/2016 15:29,0.03,0
8/6/2016 15:59,0.03,0
8/6/2016 16:29,0.03,0
8/6/2016 16:59,0.03,0
8/6/2016 17:29,0.03,0
8/6/2016 17:59,0.03,0
8/6/2016 18:29,0.03,0
8/6/2016 18:59,0.233,0
8/6/2016 19:29,0.186,0
8/6/2016 19:59,0.03,0
8/6/2016 20:29,0.03,0
8/6/2016 20:59,0.03,0
8/6/2016 21:29,0.03,0
8/6/2016 21:59,0.03,0
8/6/2016 22:29,0.03,0
8/6/2016 22:59,0.102,0
8/6/2016 23:29,0.03,0
8/6/2016 23:59,0.067,0
8/7/2016 0:29,0.03,0
8/7/2016 0:59,0.03,0
8/7/2016 1:29,0.096,0
8/7/2016 1:59,0.062,0
8/7/2016 2:29,0.064,0
8/7/2016 2:59,0.03,0
8/7/2016 3:29,0.03,0
8/7/2016 3:59,0.03,0
8/7/2016 4:29,0.03,0
8/7/2016 4:59,0.03,0
8/7/2016 5:29,0.03,0
8/7/2016 5:59,0.03,0
8/7/2016 6:29,0.03,0
8/7/2016 6:59,0.03,0
8/7/2016 7:29,0.03,0
8/7/2016 7:59,0.03,0
8/7/2016 8:29,0.117,0
8/7/2016 8:59,0.03,0
8/7/2016 9:29,0.03,0
8/7/2016 9:59,0.03,0
8/7/2016 10:29,0.03,0
8/7/2016 10:59,0.03,0
8/7/2016 11:29,0.03,0
8/7/2016 11:59,0.03,0
8/7/2016 12:29,0.03,0
8/7/2016 12:59,0.061,0
8/7/2016 13:29,0.03,0
8/7/2016 13:59,0.03,0
8/7/2016 14:29,0.03,0
8/7/2016 14:59,0.03,0
8/7/2016 15:29,0.03,0
8/7/2016 15:59,0.03,0
8/7/2016 16:29,0.03,0
8/7/2016 16:59,0.03,0
8/7/2016 17:29,0.03,0
8/7/2016 17:59,0.03,0
8/7/2016 18:29,0.03,0
8/7/2016 18:59,0.03,0
8/7/2016 19:29,0.03,0
8/7/2016 19:59,0.03,0
8/7/2016 20:29,0.03,0
8/7/2016 20:59,0.03,0
8/7/2016 21:29,0.144,0
8/7/2016 21:59,0.132,0
8/7/2016 22:29,0.03,0
8/7/2016 22:59,0.03,0
8/7/2016 23:29,0.075,0
8/7/2016 23:59,0.069,0
8/8/2016 0:29,0.03,0
8/8/2016 0:59,0.099,0
8/8/2016 1:29,0.164,0
8/8/2016 1:59,0.03,0
8/8/2016 2:29,0.088,0
8/8/2016 2:59,0.441,0
8/8/2016 3:29,0.344,0
8/8/2016 3:59,0.387,0
8/8/2016 4:29,0.315,0
8/8/2016 4:59,0.245,0
8/8/2016 5:29,0.265,0
8/8/2016 5:59,0.262,0
8/8/2016 6:29,0.265,0
8/8/2016 6:59,0.311,0
8/8/2016 7:29,0.184,0
8/8/2016 7:59,0.212,0
8/8/2016 8:29,0.214,0
8/8/2016 8:59,0.197,0
8/8/2016 9:29,0.134,0
8/8/2016 9:59,0.175,0
8/8/2016 10:29,0.178,0
8/8/2016 10:59,0.127,0
8/8/2016 11:29,0.376,0
8/8/2016 11:59,0.371,0
8/8/2016 12:29,0.132,0
8/8/2016 12:59,0.22,0
8/8/2016 13:29,0.195,0
8/8/2016 13:59,0.22,0
8/8/2016 14:29,0.174,0
8/8/2016 14:59,0.134,0
8/8/2016 15:29,0.074,0
8/8/2016 15:59,0.095,0
8/8/2016 16:29,0.075,0
8/8/2016 16:59,0.115,0
8/8/2016 17:29,0.11,0
8/8/2016 17:59,0.129,0
8/8/2016 18:29,0.121,0
8/8/2016 18:59,0.148,0
8/8/2016 19:29,0.103,0
8/8/2016 19:59,0.141,0
8/8/2016 20:29,0.03,0
8/8/2016 20:59,0.092,0
8/8/2016 21:29,0.088,0
8/8/2016 21:59,0.125,0
8/8/2016 22:29,0.106,0
8/8/2016 22:59,0.317,0
8/8/2016 23:29,0.195,0
8/8/2016 23:59,0.089,0
8/9/2016 0:29,0.079,0
8/9/2016 0:59,0.078,0
8/9/2016 1:29,0.03,0
8/9/2016 1:59,0.03,0
8/9/2016 2:29,0.102,0
8/9/2016 2:59,0.03,0
8/9/2016 3:29,0.126,0
8/9/2016 3:59,0.143,0
8/9/2016 4:29,0.202,0
8/9/2016 4:59,0.105,0
8/9/2016 5:29,0.078,0
8/9/2016 5:59,0.03,0
8/9/2016 6:29,0.134,0
8/9/2016 6:59,0.063,0
8/9/2016 7:29,0.03,0
8/9/2016 7:59,0.125,0
8/9/2016 8:29,0.128,0
8/9/2016 8:59,0.081,0
8/9/2016 9:29,0.135,0
8/9/2016 9:59,0.232,0
8/9/2016 10:29,0.128,0
8/9/2016 10:59,0.171,0
8/9/2016 11:29,0.211,0
8/9/2016 11:59,0.225,0
8/9/2016 12:29,0.112,0
8/9/2016 12:59,0.103,0
8/9/2016 13:29,0.27,0
8/9/2016 13:59,0.275,0
8/9/2016 14:29,0.191,0
8/9/2016 15:59,0.099,0
8/9/2016 16:29,0.735,0
8/9/2016 17:29,0.549,0
8/9/2016 17:59,0.366,0
8/9/2016 18:29,0.716,0
8/9/2016 18:59,0.717,0
8/9/2016 19:29,0.777,0
8/9/2016 19:59,0.805,0
8/9/2016 20:29,0.396,0
8/9/2016 20:59,0.665,0
8/9/2016 21:29,0.603,0
8/9/2016 21:59,1.091,1
8/9/2016 22:29,0.683,0
8/9/2016 22:59,0.537,0
8/9/2016 23:29,0.521,0
8/9/2016 23:59,0.27,0
8/10/2016 0:29,0.162,0
8/10/2016 0:59,0.252,0
8/10/2016 1:29,0.796,0
8/10/2016 1:59,0.489,0
8/10/2016 2:29,0.272,0
8/10/2016 2:59,0.19,0
8/10/2016 3:29,0.177,0
8/10/2016 3:59,0.229,0
8/10/2016 4:29,0.432,0
8/10/2016 4:59,0.348,0
8/10/2016 5:29,0.267,0
8/10/2016 5:59,0.315,0
8/10/2016 6:29,0.242,0
8/10/2016 6:59,0.258,0
8/10/2016 7:29,0.226,0
8/10/2016 7:59,0.348,0
8/10/2016 8:29,0.303,0
8/10/2016 8:59,0.03,0
8/10/2016 9:29,0.231,0
8/10/2016 9:59,0.324,0
8/10/2016 10:29,0.173,0
8/10/2016 10:59,0.477,0
8/10/2016 11:29,0.141,0
8/10/2016 11:59,0.231,0
8/10/2016 12:29,0.306,0
8/10/2016 12:59,0.265,0
8/10/2016 13:29,0.125,0
8/10/2016 13:59,0.207,0
8/10/2016 14:29,0.128,0
8/10/2016 14:59,0.083,0
8/10/2016 15:29,0.135,0
8/10/2016 15:59,0.162,0
8/10/2016 16:29,0.125,0
8/10/2016 16:59,0.312,0
8/10/2016 17:29,0.145,0
8/10/2016 17:59,0.192,0
8/10/2016 18:29,0.11,0
8/10/2016 18:59,0.078,0
8/10/2016 19:29,0.129,0
8/10/2016 19:59,0.066,0
8/10/2016 20:29,0.128,0
8/10/2016 20:59,0.03,0
8/10/2016 21:29,0.03,0
8/10/2016 21:59,0.03,0
8/10/2016 22:29,0.075,0
8/10/2016 22:59,0.075,0
8/10/2016 23:29,0.104,0
8/10/2016 23:59,0.066,0
8/11/2016 0:29,0.113,0
8/11/2016 0:59,0.03,0
8/11/2016 1:29,0.03,0
8/11/2016 1:59,0.061,0
8/11/2016 2:29,0.085,0
8/11/2016 2:59,0.03,0
8/11/2016 3:29,0.074,0
8/11/2016 3:59,0.03,0
8/11/2016 4:29,0.077,0
8/11/2016 4:59,0.03,0
8/11/2016 5:29,0.03,0
8/11/2016 5:59,0.03,0
8/11/2016 6:29,0.03,0
8/11/2016 6:59,0.03,0
8/11/2016 7:29,0.093,0
8/11/2016 7:59,0.03,0
8/11/2016 8:29,0.03,0
8/11/2016 8:59,0.03,0
8/11/2016 9:29,0.03,0
8/11/2016 9:59,0.03,0
8/11/2016 10:29,0.03,0
8/11/2016 10:59,0.03,0
8/11/2016 11:29,0.03,0
8/11/2016 11:59,0.03,0
8/11/2016 12:29,0.172,0
8/11/2016 12:59,0.119,0
8/11/2016 13:29,0.099,0
8/11/2016 13:59,0.03,0
8/11/2016 14:29,0.064,0
8/11/2016 14:59,0.03,0
8/11/2016 15:29,0.03,0
8/11/2016 15:59,0.03,0
8/11/2016 16:29,0.03,0
8/11/2016 16:59,0.068,0
8/11/2016 17:29,0.071,0
8/11/2016 17:59,0.03,0
8/11/2016 18:29,0.128,0
8/11/2016 18:59,0.413,0
8/11/2016 19:29,0.03,0
8/11/2016 19:59,0.117,0
8/11/2016 20:29,0.307,0
8/11/2016 20:59,0.191,0
8/11/2016 21:29,0.23,0
8/11/2016 21:59,0.124,0
8/11/2016 22:29,0.087,0
8/11/2016 22:59,0.1,0
8/11/2016 23:29,0.23,0
8/11/2016 23:59,0.03,0
8/12/2016 0:29,0.03,0
8/12/2016 0:59,0.112,0
8/12/2016 1:29,0.073,0
8/12/2016 1:59,0.112,0
8/12/2016 2:29,0.149,0
8/12/2016 2:59,0.076,0
8/12/2016 3:29,0.125,0
8/12/2016 3:59,0.118,0
8/12/2016 4:29,0.081,0
8/12/2016 4:59,0.03,0
8/12/2016 5:29,0.03,0
8/12/2016 5:59,0.03,0
8/12/2016 6:29,0.03,0
8/12/2016 6:59,0.087,0
8/12/2016 7:29,0.03,0
8/12/2016 7:59,0.175,0
8/12/2016 8:29,0.183,0
8/12/2016 8:59,0.278,0
8/12/2016 9:29,0.168,0
8/12/2016 9:59,0.162,0
8/12/2016 10:29,0.135,0
8/12/2016 10:59,0.184,0
8/12/2016 11:29,0.206,0
8/12/2016 11:59,0.11,0
8/12/2016 12:29,0.113,0
8/12/2016 12:59,0.145,0
8/12/2016 13:29,0.11,0
8/12/2016 13:59,0.161,0
8/12/2016 14:29,0.161,0
8/12/2016 14:59,0.099,0
8/12/2016 15:29,0.03,0
8/12/2016 15:59,0.03,0
8/12/2016 16:29,0.03,0
8/12/2016 16:59,0.03,0
8/12/2016 17:29,0.03,0
8/12/2016 17:59,0.03,0
8/12/2016 18:29,0.03,0
8/12/2016 18:59,0.03,0
8/12/2016 19:29,0.03,0
8/12/2016 19:59,0.03,0
8/12/2016 20:29,0.03,0
8/12/2016 20:59,0.03,0
8/12/2016 21:29,0.03,0
8/12/2016 21:59,0.03,0
8/12/2016 22:29,0.03,0
8/12/2016 22:59,0.03,0
8/12/2016 23:29,0.03,0
8/12/2016 23:59,0.03,0
8/13/2016 0:29,0.03,0
8/13/2016 0:59,0.03,0
8/13/2016 1:29,0.03,0
8/13/2016 1:59,0.03,0
8/13/2016 2:29,0.03,0
8/13/2016 2:59,0.47,1
8/13/2016 3:29,0.094,0
8/13/2016 3:59,0.089,0
8/13/2016 4:29,0.079,0
8/13/2016 4:59,0.03,0
8/13/2016 5:29,0.03,0
8/13/2016 5:59,0.03,0
8/13/2016 6:29,0.03,0
8/13/2016 6:59,0.158,0
8/13/2016 7:29,0.165,0
8/13/2016 7:59,0.03,0
8/13/2016 8:29,0.121,0
8/13/2016 8:59,0.156,0
8/13/2016 9:29,0.134,0
8/13/2016 9:59,0.168,0
8/13/2016 10:29,0.127,0
8/13/2016 10:59,0.072,0
8/13/2016 11:29,0.09,0
8/13/2016 11:59,0.094,0
8/13/2016 12:29,0.09,0
8/13/2016 12:59,0.075,0
8/13/2016 13:29,0.068,0
8/13/2016 13:59,0.123,0
8/13/2016 14:29,0.072,0
8/13/2016 14:59,0.03,0
8/13/2016 15:29,0.03,0
8/13/2016 15:59,0.03,0
8/13/2016 16:29,0.03,0
8/13/2016 16:59,0.159,0
8/13/2016 17:29,0.137,0
8/13/2016 17:59,0.126,0
8/13/2016 18:29,0.072,0
8/13/2016 18:59,0.03,0
8/13/2016 19:29,0.03,0
8/13/2016 19:59,0.03,0
8/13/2016 20:29,0.03,0
8/13/2016 20:59,0.03,0
8/13/2016 21:29,0.03,0
8/13/2016 21:59,0.03,0
8/13/2016 22:29,0.03,0
8/13/2016 22:59,0.03,0
8/13/2016 23:29,0.03,0
8/13/2016 23:59,0.03,0
8/14/2016 0:29,0.03,0
8/14/2016 0:59,0.03,0
8/14/2016 1:29,0.067,0
8/14/2016 1:59,0.03,0
8/14/2016 2:29,0.03,0
8/14/2016 2:59,0.03,0
8/14/2016 3:29,0.078,0
8/14/2016 3:59,0.03,0
8/14/2016 4:29,0.03,0
8/14/2016 4:59,0.03,0
8/14/2016 5:29,0.03,0
8/14/2016 5:59,0.03,0
8/14/2016 6:29,0.03,0
8/14/2016 6:59,0.03,0
8/14/2016 7:29,0.03,0
8/14/2016 7:59,0.03,0
8/14/2016 8:29,0.03,0
8/14/2016 8:59,0.03,0
8/14/2016 9:29,0.03,0
8/14/2016 9:59,0.03,0
8/14/2016 10:29,0.03,0
8/14/2016 10:59,0.03,0
8/14/2016 11:29,0.03,0
8/14/2016 11:59,0.03,0
8/14/2016 12:29,0.03,0
8/14/2016 12:59,0.03,0
8/14/2016 13:29,0.03,0
8/14/2016 13:59,0.03,0
8/14/2016 14:29,0.03,0
8/14/2016 14:59,0.03,0
8/14/2016 15:29,0.03,0
8/14/2016 15:59,0.03,0
8/14/2016 16:29,0.03,0
8/14/2016 16:59,0.03,0
8/14/2016 17:29,0.03,0
8/14/2016 17:59,0.03,0
8/14/2016 18:29,0.03,0
8/14/2016 18:59,0.03,0
8/14/2016 19:29,0.03,0
8/14/2016 19:59,0.03,0
8/14/2016 20:29,0.03,0
8/14/2016 20:59,0.03,0
8/14/2016 21:29,0.03,0
8/14/2016 21:59,0.03,0
8/14/2016 22:29,0.03,0
8/14/2016 22:59,0.03,0
8/14/2016 23:29,0.03,0
8/14/2016 23:59,0.03,0
8/15/2016 0:29,0.03,0
8/15/2016 0:59,0.03,0
8/15/2016 1:29,0.03,0
8/15/2016 1:59,0.03,0
8/15/2016 2:29,0.03,0
8/15/2016 2:59,0.03,0
8/15/2016 3:29,0.03,0
8/15/2016 3:59,0.03,0
8/15/2016 4:29,0.03,0
8/15/2016 4:59,0.063,0
8/15/2016 5:29,0.03,0
8/15/2016 5:59,0.03,0
8/15/2016 6:29,0.03,0
8/15/2016 6:59,0.03,0
8/15/2016 7:29,0.03,0
8/15/2016 7:59,0.03,0
8/15/2016 8:29,0.03,0
8/15/2016 8:59,0.075,0
8/15/2016 9:29,0.03,0
8/15/2016 9:59,0.07,0
8/15/2016 10:29,0.106,0
8/15/2016 10:59,0.119,0
8/15/2016 11:29,0.03,0
8/15/2016 11:59,0.03,0
8/15/2016 12:29,0.03,0
8/15/2016 12:59,0.03,0
8/15/2016 13:29,0.03,0
8/15/2016 13:59,0.079,0
8/15/2016 14:29,0.078,0
8/15/2016 14:59,0.03,0
8/15/2016 15:29,0.03,0
8/15/2016 15:59,0.127,0
8/15/2016 16:29,0.063,0
8/15/2016 16:59,0.03,0
8/15/2016 17:29,0.108,0
8/15/2016 17:59,0.03,0
8/15/2016 18:29,0.11,0
8/15/2016 18:59,0.03,0
8/15/2016 19:29,0.202,0
8/15/2016 19:59,0.169,0
8/15/2016 20:29,0.106,0
8/15/2016 20:59,0.099,0
8/15/2016 21:29,0.072,0
8/15/2016 21:59,0.091,0
8/15/2016 22:29,0.03,0
8/15/2016 22:59,0.087,0
8/15/2016 23:29,0.121,0
8/15/2016 23:59,0.084,0
8/16/2016 0:29,0.115,0
8/16/2016 0:59,0.081,0
8/16/2016 1:29,0.03,0
8/16/2016 1:59,0.03,0
8/16/2016 2:29,0.03,0
8/16/2016 2:59,0.03,0
8/16/2016 3:29,0.03,0
